,step,inference_time,iteration
0,75,0.030940721000661142,0
1,97,0.01646116899792105,0
2,99,0.016274529989459552,0
3,81,0.016942481997830328,0
4,56,0.015918992008664645,0
5,23,0.0162557840012596,0
6,82,0.016371221994631924,0
7,20,0.016077726002549753,0
8,65,0.03105108899762854,0
9,24,0.03412675599975046,0
10,37,0.016179114005353767,0
11,57,0.016476062002766412,0
12,13,0.016430957002739888,0
13,19,0.01598989400008577,0
14,22,0.01688027099953615,0
15,74,0.016733459997340105,0
16,12,0.03238020199933089,0
17,77,0.017709565996483434,0
18,83,0.03309510300459806,0
19,33,0.016382989997509867,0
20,94,0.016311613006109837,0
21,15,0.01607147500180872,0
22,11,0.03437568599838414,0
23,64,0.03224490099819377,0
24,62,0.016771043003245723,0
25,1,0.017474912998295622,0
26,53,0.017103046004194766,0
27,5,0.017067059998225886,0
28,41,0.016396019003877882,0
29,68,0.018764706001093145,0
30,47,0.017268474002776202,0
31,89,0.03453147799882572,0
32,3,0.02835637699899962,0
33,90,0.03602819600200746,0
34,66,0.02522214899363462,0
35,91,0.016263329998764675,0
36,96,0.016369010001653805,0
37,52,0.020716152001114096,0
38,9,0.016414266003266675,0
39,95,0.016550743006519042,0
40,14,0.016838934996485477,0
41,36,0.017053065006621182,0
42,55,0.0165443390069413,0
43,21,0.033253831999900285,0
44,88,0.01634927400300512,0
45,18,0.016780600999481976,0
46,92,0.016432493001047987,0
47,54,0.017055436997907236,0
48,44,0.016764230007538572,0
49,26,0.03549343300255714,0
50,42,0.0316296750024776,0
51,63,0.01682002199231647,0
52,71,0.016692580000380985,0
53,8,0.028979920996789588,0
54,80,0.016729774004488718,0
55,6,0.016647902000840986,0
56,70,0.03473098199174274,0
57,32,0.01681081500282744,0
58,69,0.030325100000482053,0
59,60,0.016775817995949183,0
60,7,0.016554399000597186,0
61,100,0.016489590001583565,0
62,4,0.031605459000275005,0
63,73,0.02613128299708478,0
64,25,0.017655510004260577,0
65,43,0.016430812996986788,0
66,48,0.016422199994849507,0
67,78,0.03176783399976557,0
68,29,0.0168458370026201,0
69,49,0.015978411000105552,0
70,17,0.01652268600082607,0
71,39,0.016848249004397076,0
72,2,0.016103545003716135,0
73,93,0.04338027101039188,0
74,72,0.027026908996049315,0
75,28,0.016451712002890417,0
76,50,0.01667994300078135,0
77,59,0.016555356000026222,0
78,35,0.0165906999973231,0
79,87,0.016879288996278774,0
80,40,0.01606181199895218,0
81,30,0.03550961599830771,0
82,61,0.03953094099415466,0
83,34,0.016400627995608374,0
84,67,0.01730050699552521,0
85,45,0.016500554003869183,0
86,31,0.01625630899798125,0
87,16,0.017235089999303455,0
88,79,0.035852713997883257,0
89,51,0.016244874997937586,0
90,84,0.016502209997270256,0
91,85,0.016608919002464972,0
92,38,0.016633858998829965,0
93,27,0.01628639699993073,0
94,86,0.01685511700634379,0
95,10,0.01687253200361738,0
96,46,0.016459901999041904,0
97,98,0.034611562005011365,0
98,76,0.03429769400099758,0
99,58,0.01756290900084423,0
