,step,inference_time,iteration,model
0,75,0.0309407210006611,0,Random
1,97,0.016461168997921,0,Random
2,99,0.0162745299894595,0,Random
3,81,0.0169424819978303,0,Random
4,56,0.0159189920086646,0,Random
5,23,0.0162557840012596,0,Random
6,82,0.0163712219946319,0,Random
7,20,0.0160777260025497,0,Random
8,65,0.0310510889976285,0,Random
9,24,0.0341267559997504,0,Random
10,37,0.0161791140053537,0,Random
11,57,0.0164760620027664,0,Random
12,13,0.0164309570027398,0,Random
13,19,0.0159898940000857,0,Random
14,22,0.0168802709995361,0,Random
15,74,0.0167334599973401,0,Random
16,12,0.0323802019993308,0,Random
17,77,0.0177095659964834,0,Random
18,83,0.033095103004598,0,Random
19,33,0.0163829899975098,0,Random
20,94,0.0163116130061098,0,Random
21,15,0.0160714750018087,0,Random
22,11,0.0343756859983841,0,Random
23,64,0.0322449009981937,0,Random
24,62,0.0167710430032457,0,Random
25,1,0.0174749129982956,0,Random
26,53,0.0171030460041947,0,Random
27,5,0.0170670599982258,0,Random
28,41,0.0163960190038778,0,Random
29,68,0.0187647060010931,0,Random
30,47,0.0172684740027762,0,Random
31,89,0.0345314779988257,0,Random
32,3,0.0283563769989996,0,Random
33,90,0.0360281960020074,0,Random
34,66,0.0252221489936346,0,Random
35,91,0.0162633299987646,0,Random
36,96,0.0163690100016538,0,Random
37,52,0.020716152001114,0,Random
38,9,0.0164142660032666,0,Random
39,95,0.016550743006519,0,Random
40,14,0.0168389349964854,0,Random
41,36,0.0170530650066211,0,Random
42,55,0.0165443390069413,0,Random
43,21,0.0332538319999002,0,Random
44,88,0.0163492740030051,0,Random
45,18,0.0167806009994819,0,Random
46,92,0.0164324930010479,0,Random
47,54,0.0170554369979072,0,Random
48,44,0.0167642300075385,0,Random
49,26,0.0354934330025571,0,Random
50,42,0.0316296750024776,0,Random
51,63,0.0168200219923164,0,Random
52,71,0.0166925800003809,0,Random
53,8,0.0289799209967895,0,Random
54,80,0.0167297740044887,0,Random
55,6,0.0166479020008409,0,Random
56,70,0.0347309819917427,0,Random
57,32,0.0168108150028274,0,Random
58,69,0.030325100000482,0,Random
59,60,0.0167758179959491,0,Random
60,7,0.0165543990005971,0,Random
61,100,0.0164895900015835,0,Random
62,4,0.031605459000275,0,Random
63,73,0.0261312829970847,0,Random
64,25,0.0176555100042605,0,Random
65,43,0.0164308129969867,0,Random
66,48,0.0164221999948495,0,Random
67,78,0.0317678339997655,0,Random
68,29,0.0168458370026201,0,Random
69,49,0.0159784110001055,0,Random
70,17,0.016522686000826,0,Random
71,39,0.016848249004397,0,Random
72,2,0.0161035450037161,0,Random
73,93,0.0433802710103918,0,Random
74,72,0.0270269089960493,0,Random
75,28,0.0164517120028904,0,Random
76,50,0.0166799430007813,0,Random
77,59,0.0165553560000262,0,Random
78,35,0.0165906999973231,0,Random
79,87,0.0168792889962787,0,Random
80,40,0.0160618119989521,0,Random
81,30,0.0355096159983077,0,Random
82,61,0.0395309409941546,0,Random
83,34,0.0164006279956083,0,Random
84,67,0.0173005069955252,0,Random
85,45,0.0165005540038691,0,Random
86,31,0.0162563089979812,0,Random
87,16,0.0172350899993034,0,Random
88,79,0.0358527139978832,0,Random
89,51,0.0162448749979375,0,Random
90,84,0.0165022099972702,0,Random
91,85,0.0166089190024649,0,Random
92,38,0.0166338589988299,0,Random
93,27,0.0162863969999307,0,Random
94,86,0.0168551170063437,0,Random
95,10,0.0168725320036173,0,Random
96,46,0.0164599019990419,0,Random
97,98,0.0346115620050113,0,Random
98,76,0.0342976940009975,0,Random
99,58,0.0175629090008442,0,Random
