,model,step,restart,candidate,result,best_f,steps_to_best_f
0,BoBn,0,0,"{'x3': 1.3227853266308454, 'x1': 2.1929659845223246, 'x4': 1.8917641347877332, 'x5': 2.70746519239268, 'x2': 1.5693560647171092}",3.42327880859375,3.42327880859375,0
1,BoBn,1,0,"{'x3': 1.2851952342890804, 'x1': 2.202960392089911, 'x4': 1.9002219940491745, 'x5': 1.1380623367903004, 'x2': 1.5695564343713797}",3.663148880004883,3.663148880004883,1
2,BoBn,2,0,"{'x3': 1.2849370573787544, 'x1': 2.20331786745258, 'x4': 1.8852272428895924, 'x5': 1.1427904380382798, 'x2': 1.5696479294674373}",3.4902241230010986,3.663148880004883,1
3,BoBn,3,0,"{'x3': 1.2849095646846571, 'x1': 2.203392898850507, 'x4': 1.9169850523735918, 'x5': 1.1477757964050108, 'x2': 1.5697012839792366}",3.7405478954315186,3.7405478954315186,3
4,BoBn,4,0,"{'x3': 1.284897139981373, 'x1': 2.203434567821552, 'x4': 1.8994951536184526, 'x5': 2.673301077706321, 'x2': 1.5697377454814245}",3.6866986751556396,3.7405478954315186,3
5,BoBn,5,0,"{'x3': 1.2848907379182057, 'x1': 2.2034511608507046, 'x4': 1.9212046616897192, 'x5': 2.6742364393356026, 'x2': 1.5697652514739573}",3.795424461364746,3.795424461364746,5
6,BoBn,6,0,"{'x3': 1.2848886394475105, 'x1': 2.2034629670173285, 'x4': 1.9221174584529637, 'x5': 2.671362278153074, 'x2': 1.5697864664417462}",3.8172099590301514,3.8172099590301514,6
7,BoBn,7,0,"{'x3': 1.2848883201737509, 'x1': 2.2034684900073214, 'x4': 1.9223130259789998, 'x5': 2.6791012663716387, 'x2': 1.5698046678288573}",3.766071319580078,3.8172099590301514,6
8,BoBn,8,0,"{'x3': 1.2848896710921354, 'x1': 2.203470079384597, 'x4': 1.922385968581919, 'x5': 2.661359709400189, 'x2': 1.5698200847514299}",3.910797595977783,3.910797595977783,8
9,BoBn,9,0,"{'x3': 1.2848918343821036, 'x1': 2.2034683836793754, 'x4': 1.9224215890984528, 'x5': 2.693612600063687, 'x2': 1.5698334876323428}",3.715954065322876,3.910797595977783,8
10,BoBn,10,0,"{'x3': 1.2848947965205064, 'x1': 2.2034649739376198, 'x4': 1.922444234654025, 'x5': 2.6527226899932965, 'x2': 1.5698464493277198}",4.0075249671936035,4.0075249671936035,10
11,BoBn,11,0,"{'x3': 1.2848985206318961, 'x1': 2.203459910659597, 'x4': 1.9224597559991545, 'x5': 2.686196033924778, 'x2': 1.5698573564970528}",3.7353806495666504,4.0075249671936035,10
12,BoBn,12,0,"{'x3': 1.2849019234264996, 'x1': 2.203453865475485, 'x4': 1.9224715259324996, 'x5': 2.664179766633068, 'x2': 1.5698677232792801}",3.8818485736846924,4.0075249671936035,10
13,BoBn,13,0,"{'x3': 1.2849059465223254, 'x1': 2.2034470593585063, 'x4': 1.922481754838106, 'x5': 2.674444851814694, 'x2': 1.5698774314889286}",3.7948110103607178,4.0075249671936035,10
14,BoBn,14,0,"{'x3': 1.284909958559937, 'x1': 2.2034397541742083, 'x4': 1.922489833162866, 'x5': 2.6699616157250943, 'x2': 1.569886657145426}",3.828646659851074,4.0075249671936035,10
15,BoBn,15,0,"{'x3': 1.2849140703783173, 'x1': 2.2034322216836957, 'x4': 1.922497603318799, 'x5': 2.6707818872826894, 'x2': 1.5698949800250601}",3.8219001293182373,4.0075249671936035,10
16,BoBn,16,0,"{'x3': 1.2849181651840993, 'x1': 2.2034243234462867, 'x4': 1.9225043166219498, 'x5': 2.670215333765367, 'x2': 1.5699031872941573}",3.8265950679779053,4.0075249671936035,10
17,BoBn,17,0,"{'x3': 1.2849222612910427, 'x1': 2.2034163436759133, 'x4': 1.9225106503299072, 'x5': 2.669656321506298, 'x2': 1.569910795668957}",3.831191301345825,4.0075249671936035,10
18,BoBn,18,0,"{'x3': 1.2849262679853668, 'x1': 2.2034084624195303, 'x4': 1.9225166038314814, 'x5': 2.6688153327841286, 'x2': 1.569918189229829}",3.838449478149414,4.0075249671936035,10
19,BoBn,19,0,"{'x3': 1.2849308957778067, 'x1': 2.2034006529720958, 'x4': 1.9225225560960908, 'x5': 2.6674714274004034, 'x2': 1.569925304298747}",3.85066294670105,4.0075249671936035,10
20,BoBn,20,0,"{'x3': 1.284934245564998, 'x1': 2.203392836990959, 'x4': 1.9293461302818555, 'x5': 2.664901456622873, 'x2': 1.5699319944707677}",3.8656928539276123,4.0075249671936035,10
21,BoBn,21,0,"{'x3': 1.2849381028970068, 'x1': 2.2033849594575643, 'x4': 1.9229811570634578, 'x5': 2.6583931640904743, 'x2': 1.5699387007882537}",3.9432098865509033,4.0075249671936035,10
22,BoBn,22,0,"{'x3': 1.2849417495504512, 'x1': 2.203377660585307, 'x4': 1.9229822920148114, 'x5': 1.0402728844401183, 'x2': 1.5699449894796769}",4.3837690353393555,4.3837690353393555,22
23,BoBn,23,0,"{'x3': 1.2849447954109203, 'x1': 2.2033702219422104, 'x4': 1.922983541680203, 'x5': 1.0166113508334513, 'x2': 1.569951157526618}",4.503894329071045,4.503894329071045,23
24,BoBn,24,0,"{'x3': 1.2849488669649805, 'x1': 2.2033603570148954, 'x4': 1.9229848838287185, 'x5': 1.003027566301815, 'x2': 1.5699568933624615}",4.534143447875977,4.534143447875977,24
25,BoBn,25,0,"{'x3': 1.2849523580800117, 'x1': 2.2033559170876504, 'x4': 1.9229862145623426, 'x5': 0.9976992213559761, 'x2': 1.5699627187600613}",4.537550449371338,4.537550449371338,25
26,BoBn,26,0,"{'x3': 1.2849558431747183, 'x1': 2.2033489780705504, 'x4': 1.922987570780486, 'x5': 0.9969439498206141, 'x2': 1.569966905543732}",4.537755966186523,4.537755966186523,26
27,BoBn,27,0,"{'x3': 1.284958883409526, 'x1': 2.203342334620259, 'x4': 1.9229883491924518, 'x5': 0.9968776516576131, 'x2': 1.569973639170274}",4.537646770477295,4.537755966186523,26
28,BoBn,28,0,"{'x3': 1.284961881407026, 'x1': 2.203335935668259, 'x4': 1.9229902597846222, 'x5': 0.996860624983582, 'x2': 1.5699773279821283}",4.537702560424805,4.537755966186523,26
29,BoBn,29,0,"{'x3': 1.2849650500369836, 'x1': 2.203329544730487, 'x4': 1.9229915857889421, 'x5': 0.9968542480866044, 'x2': 1.56998412725601}",4.537641525268555,4.537755966186523,26
30,BoBn,30,0,"{'x3': 1.2849681032634512, 'x1': 2.203323876696413, 'x4': 1.922992706380747, 'x5': 0.9968517822106986, 'x2': 1.5699890473528297}",4.537712574005127,4.537755966186523,26
