,model,step,restart,candidate,result,best_f,steps_to_best_f,peak_memory,runtime_ms
46,BoBn,46,0,"{'x5': 0.9965897288288665, 'x1': 2.2032167987702853, 'x4': 1.113864099460584, 'x3': 1.2851057053495338, 'x2': 1.5708200246862054}",4.495882511138916,4.496191501617432,45,168209408,11.380799770355225
47,BoBn,47,0,"{'x5': 0.9965900482376768, 'x1': 2.2032170769768262, 'x4': 1.1138636230110779, 'x3': 1.2851088901620904, 'x2': 1.5708196956472487}",4.4957451820373535,4.496191501617432,45,168489472,11.502148389816284
48,BoBn,48,0,"{'x5': 0.9965898735832649, 'x1': 2.2032170030518747, 'x4': 1.1138557700025264, 'x3': 1.2851105625364883, 'x2': 1.5708196390715121}",4.495826721191406,4.496191501617432,45,168796160,15.43988823890686
49,BoBn,49,0,"{'x5': 0.9965899443444948, 'x1': 2.2032130083988193, 'x4': 1.1138656950665626, 'x3': 1.2851074566541365, 'x2': 1.570820604623341}",4.495968341827393,4.496191501617432,45,168843264,13.462152481079102
50,BoBn,50,0,"{'x5': 0.9965903273970177, 'x1': 2.203217154425802, 'x4': 1.113859988796803, 'x3': 1.2851244839566176, 'x2': 1.5708193299174527}",4.495928764343262,4.496191501617432,45,169557504,14.938246488571167
51,BoBn,51,0,"{'x5': 0.9965904324535766, 'x1': 2.203217043927442, 'x4': 1.1138620051050638, 'x3': 1.2851034431554005, 'x2': 1.5708193659381853}",4.495799541473389,4.496191501617432,45,169266176,13.720871925354004
52,BoBn,52,0,"{'x5': 0.9965903066001419, 'x1': 2.203217006327591, 'x4': 1.113861774779254, 'x3': 1.2851028650631968, 'x2': 1.5708197072112948}",4.495856285095215,4.496191501617432,45,170473984,12.382892370223999
53,BoBn,53,0,"{'x5': 0.9965904436256922, 'x1': 2.2032168296089636, 'x4': 1.1139253530801994, 'x3': 1.2851024750702311, 'x2': 1.5708202991022813}",4.495805740356445,4.496191501617432,45,170745856,13.678953409194946
54,BoBn,54,0,"{'x5': 0.9965916167208296, 'x1': 2.2032170795195785, 'x4': 1.113862660599888, 'x3': 1.285102133231721, 'x2': 1.5708213994743025}",4.495840072631836,4.496191501617432,45,172051456,22.74295949935913
55,BoBn,55,0,"{'x5': 0.9965906720955467, 'x1': 2.2031995362573245, 'x4': 1.1138604074485967, 'x3': 1.285101889250991, 'x2': 1.5708221205472583}",4.495956897735596,4.496191501617432,45,171485184,8.333568334579468
56,BoBn,56,0,"{'x5': 0.9965911509354617, 'x1': 2.203198940788387, 'x4': 1.113860192410945, 'x3': 1.2851017758966654, 'x2': 1.570818881858201}",4.495872497558594,4.496191501617432,45,171750912,13.580161333084106
57,BoBn,57,0,"{'x5': 0.9965918922004392, 'x1': 2.2032156385080865, 'x4': 1.113859664741253, 'x3': 1.2851015850563585, 'x2': 1.570818563885977}",4.496102809906006,4.496191501617432,45,172103680,28.394193410873413
58,BoBn,58,0,"{'x5': 0.9965914081144561, 'x1': 2.2032162501000796, 'x4': 1.1138592813877957, 'x3': 1.2851013504007285, 'x2': 1.5708186908391018}",4.495859622955322,4.496191501617432,45,172716544,17.61160969734192
59,BoBn,59,0,"{'x5': 0.9965914354946303, 'x1': 2.2031974399410936, 'x4': 1.1139221366748986, 'x3': 1.2851012933299808, 'x2': 1.5708185058928459}",4.495933532714844,4.496191501617432,45,173010432,12.786003589630127
60,BoBn,60,0,"{'x5': 0.9965916863089566, 'x1': 2.2032161373289676, 'x4': 1.1139171823928935, 'x3': 1.2851011858077834, 'x2': 1.5708183387085937}",4.496037006378174,4.496191501617432,45,174306816,12.863569259643555
61,BoBn,61,0,"{'x5': 0.9965919164198631, 'x1': 2.20321558741729, 'x4': 1.1138591359834766, 'x3': 1.28510104004284, 'x2': 1.5708181354685842}",4.4958930015563965,4.496191501617432,45,173795328,10.391126871109009
62,BoBn,62,0,"{'x5': 0.9965919272692726, 'x1': 2.203205455832797, 'x4': 1.1138509512236154, 'x3': 1.2851008682876042, 'x2': 1.5708181371515857}",4.496023654937744,4.496191501617432,45,175122432,14.5043785572052
63,BoBn,63,0,"{'x5': 0.9965921974292327, 'x1': 2.203205207928759, 'x4': 1.113857360787465, 'x3': 1.2851006673962988, 'x2': 1.5708178610124264}",4.495872497558594,4.496191501617432,45,175549440,29.494876384735107
64,BoBn,64,0,"{'x5': 0.9965921382588024, 'x1': 2.2032152380143546, 'x4': 1.1139193025103546, 'x3': 1.2851007600531972, 'x2': 1.57081793836151}",4.495936870574951,4.496191501617432,45,175076864,24.648728370666504
65,BoBn,65,0,"{'x5': 0.9965923933635357, 'x1': 2.2032161411919895, 'x4': 1.1138565486802388, 'x3': 1.2851007432404626, 'x2': 1.5708169445034703}",4.496028423309326,4.496191501617432,45,176253952,13.651482343673706
66,BoBn,66,0,"{'x5': 0.9965921300404567, 'x1': 2.203193589368328, 'x4': 1.1139188792942134, 'x3': 1.2851005358071257, 'x2': 1.5708176191799743}",4.495802402496338,4.496191501617432,45,176707072,12.800508975982666
67,BoBn,67,0,"{'x5': 0.9965929066685049, 'x1': 2.203214599553783, 'x4': 1.1138557968729879, 'x3': 1.2851004050191288, 'x2': 1.5708171157580872}",4.495873928070068,4.496191501617432,45,176962560,24.621021032333374
68,BoBn,68,0,"{'x5': 0.9965930615298342, 'x1': 2.2031924635781257, 'x4': 1.1138552480200568, 'x3': 1.2851216803354981, 'x2': 1.5708174513917297}",4.495803356170654,4.496191501617432,45,177555968,12.84635066986084
69,BoBn,69,0,"{'x5': 0.996592766740836, 'x1': 2.203191899307794, 'x4': 1.1139157460882356, 'x3': 1.2851220701041506, 'x2': 1.5708168038089396}",4.496011734008789,4.496191501617432,45,178747392,12.318702220916748
70,BoBn,70,0,"{'x5': 0.9965929907941811, 'x1': 2.2031911774613304, 'x4': 1.1138548371999288, 'x3': 1.2851219182985378, 'x2': 1.5708173749772905}",4.495689868927002,4.496191501617432,45,179088384,20.585260152816772
71,BoBn,71,0,"{'x5': 0.9965931521942568, 'x1': 2.2031906755824706, 'x4': 1.1138543355201098, 'x3': 1.2851217024922457, 'x2': 1.570816921080249}",4.49561071395874,4.496191501617432,45,180796928,12.49877142906189
72,BoBn,72,0,"{'x5': 0.9965930305681386, 'x1': 2.2032004878101894, 'x4': 1.1138542238548002, 'x3': 1.2851214677815594, 'x2': 1.570817830601592}",4.4959917068481445,4.496191501617432,45,179923456,14.45383906364441
73,BoBn,73,0,"{'x5': 0.9965934329879278, 'x1': 2.2032124270533338, 'x4': 1.1138537249233567, 'x3': 1.2850998737995805, 'x2': 1.570829404501497}",4.495845794677734,4.496191501617432,45,183632896,11.27863597869873
74,BoBn,74,0,"{'x5': 0.9965934182260714, 'x1': 2.20321212847947, 'x4': 1.1138533036429736, 'x3': 1.2850996867187114, 'x2': 1.5708294959477038}",4.495997905731201,4.496191501617432,45,181133824,11.055285215377808
75,BoBn,75,0,"{'x5': 0.9965932124475012, 'x1': 2.203212336076037, 'x4': 1.1138531324495902, 'x3': 1.2850992530301035, 'x2': 1.5708309199022623}",4.4958014488220215,4.496191501617432,45,182360064,17.19340944290161
76,BoBn,76,0,"{'x5': 0.996593769910119, 'x1': 2.2031879557229352, 'x4': 1.1138525362791667, 'x3': 1.2850995720124807, 'x2': 1.5708294551476187}",4.495922565460205,4.496191501617432,45,183437312,16.151519298553467
77,BoBn,77,0,"{'x5': 0.9965937768458387, 'x1': 2.2032117908777993, 'x4': 1.1138520957764193, 'x3': 1.2850994890773084, 'x2': 1.5708305054654974}",4.4958648681640625,4.496191501617432,45,184588800,9.034363508224487
78,BoBn,78,0,"{'x5': 0.9965939898585097, 'x1': 2.20321121000996, 'x4': 1.1138517537152597, 'x3': 1.2850993076141486, 'x2': 1.5708311015558227}",4.495920181274414,4.496191501617432,45,184287744,14.663589477539062
79,BoBn,79,0,"{'x5': 0.9965941310747685, 'x1': 2.2031862932763464, 'x4': 1.1138516262063876, 'x3': 1.2850991067553712, 'x2': 1.5708365646348361}",4.49599552154541,4.496191501617432,45,184507392,19.492788314819336
80,BoBn,80,0,"{'x5': 0.9965943176989056, 'x1': 2.203210215318199, 'x4': 1.1138510767169132, 'x3': 1.285099151593575, 'x2': 1.570815062432819}",4.495978832244873,4.496191501617432,45,183545856,14.313910961151123
81,BoBn,81,0,"{'x5': 0.9965942681035611, 'x1': 2.2031852566240944, 'x4': 1.1138506566503485, 'x3': 1.2850991042156845, 'x2': 1.5708314666978127}",4.4959025382995605,4.496191501617432,45,185807360,13.872001647949219
82,BoBn,82,0,"{'x5': 0.9965949354671423, 'x1': 2.203184688458444, 'x4': 1.11385040367117, 'x3': 1.2850989745682186, 'x2': 1.5708148533542041}",4.495913505554199,4.496191501617432,45,184411136,19.29120397567749
83,BoBn,83,0,"{'x5': 0.9965945429120547, 'x1': 2.2032092307449065, 'x4': 1.113850148183237, 'x3': 1.2850988768435585, 'x2': 1.570816052142507}",4.495898723602295,4.496191501617432,45,185565696,13.818411111831665
84,BoBn,84,0,"{'x5': 0.9965945371067645, 'x1': 2.2031836492019248, 'x4': 1.1138496559370135, 'x3': 1.2850986334532, 'x2': 1.5708159452607244}",4.495652198791504,4.496191501617432,45,185247744,16.017735958099365
85,BoBn,85,0,"{'x5': 0.9965947367924866, 'x1': 2.203206294565488, 'x4': 1.113849441467268, 'x3': 1.2850986361566525, 'x2': 1.5708159213077155}",4.495745658874512,4.496191501617432,45,187713536,25.008620738983154
86,BoBn,86,0,"{'x5': 0.9965949896874714, 'x1': 2.203210429663781, 'x4': 1.113844884587927, 'x3': 1.2850986021544557, 'x2': 1.570815770797002}",4.49606466293335,4.496191501617432,45,185228288,15.546350479125977
87,BoBn,87,0,"{'x5': 0.9965957162346614, 'x1': 2.2032086042463113, 'x4': 1.113907338663441, 'x3': 1.285098516805497, 'x2': 1.5708305593660385}",4.4958577156066895,4.496191501617432,45,187652608,8.39493441581726
88,BoBn,88,0,"{'x5': 0.9965959157879878, 'x1': 2.203181579738338, 'x4': 1.113902971184374, 'x3': 1.2850985870819063, 'x2': 1.5708154886250347}",4.495946884155273,4.496191501617432,45,186464256,14.285613775253296
89,BoBn,89,0,"{'x5': 0.9965953467168602, 'x1': 2.2031810776643663, 'x4': 1.1139057649890465, 'x3': 1.2850983182984634, 'x2': 1.5708146962115643}",4.495747089385986,4.496191501617432,45,188121088,14.98790955543518
90,BoBn,90,0,"{'x5': 0.9965955560600014, 'x1': 2.203206129344363, 'x4': 1.1138474560301899, 'x3': 1.2850976788900181, 'x2': 1.5708330343515466}",4.495961666107178,4.496191501617432,45,187127808,10.609089851379395
91,BoBn,91,0,"{'x5': 0.9965953188369259, 'x1': 2.203179977314283, 'x4': 1.1139062026441442, 'x3': 1.2851196286068056, 'x2': 1.570829847630014}",4.495874404907227,4.496191501617432,45,188849152,14.370298385620117
92,BoBn,92,0,"{'x5': 0.996595725357088, 'x1': 2.2031795737660342, 'x4': 1.1138466769771227, 'x3': 1.285119638766107, 'x2': 1.5708151888098287}",4.495899200439453,4.496191501617432,45,187284480,11.061011552810669
93,BoBn,93,0,"{'x5': 0.9965961125415669, 'x1': 2.203178927144244, 'x4': 1.1138468103106984, 'x3': 1.2851193548458055, 'x2': 1.5708261095459621}",4.496026515960693,4.496191501617432,45,189223936,16.413594961166382
94,BoBn,94,0,"{'x5': 0.9965960541963652, 'x1': 2.20320381546907, 'x4': 1.1138470034351569, 'x3': 1.2851192635160278, 'x2': 1.5708277362009428}",4.495841026306152,4.496191501617432,45,189430272,15.948889255523682
95,BoBn,95,0,"{'x5': 0.9965957691504389, 'x1': 2.203207249004928, 'x4': 1.1138460650326436, 'x3': 1.2851191665840076, 'x2': 1.5708260953432402}",4.495823383331299,4.496191501617432,45,189395968,14.34788465499878
96,BoBn,96,0,"{'x5': 0.9965959790735661, 'x1': 2.203177301679613, 'x4': 1.113845763281908, 'x3': 1.2851190575580487, 'x2': 1.5708266056070759}",4.4957966804504395,4.496191501617432,45,189897728,14.287245750427246
97,BoBn,97,0,"{'x5': 0.9965962201181698, 'x1': 2.2031766765850245, 'x4': 1.113903775549902, 'x3': 1.2851190343019612, 'x2': 1.5708286505233742}",4.495873928070068,4.496191501617432,45,190231552,11.80337405204773
98,BoBn,98,0,"{'x5': 0.9965962386068353, 'x1': 2.2031762188373776, 'x4': 1.1139028272221416, 'x3': 1.2851189972417794, 'x2': 1.5708267847814101}",4.495852470397949,4.496191501617432,45,190452224,16.25555992126465
99,BoBn,99,0,"{'x5': 0.9965963200126552, 'x1': 2.2032010937046196, 'x4': 1.1138425792950386, 'x3': 1.2850974174284253, 'x2': 1.5708269751023871}",4.49594259262085,4.496191501617432,45,190392320,15.927839040756226
100,BoBn,100,0,"{'x5': 0.9965965113477415, 'x1': 2.2031751976115257, 'x4': 1.1138444134737182, 'x3': 1.2850973134757773, 'x2': 1.5708140251062581}",4.495907783508301,4.496191501617432,45,192150528,15.195286273956299
101,BoBn,101,0,"{'x5': 0.9965966203355738, 'x1': 2.203174718107491, 'x4': 1.113843969056642, 'x3': 1.2850972184802907, 'x2': 1.570828144226815}",4.49587869644165,4.496191501617432,45,191161856,26.554428339004517
102,BoBn,102,0,"{'x5': 0.9965951103673913, 'x1': 2.2031714627640557, 'x4': 1.1138442780980846, 'x3': 1.28509693702376, 'x2': 1.5708132719436152}",4.495710849761963,4.496191501617432,45,191478784,13.757410526275635
103,BoBn,103,0,"{'x5': 0.996597100360794, 'x1': 2.2031736466976533, 'x4': 1.113843317817916, 'x3': 1.2850970302270337, 'x2': 1.5708136071607235}",4.495814323425293,4.496191501617432,45,193325056,12.903452396392822
104,BoBn,104,0,"{'x5': 0.9965975142572504, 'x1': 2.2031731345406382, 'x4': 1.113842980940313, 'x3': 1.2850970515109899, 'x2': 1.5708251943337175}",4.495876789093018,4.496191501617432,45,193639424,10.818511009216309
105,BoBn,105,0,"{'x5': 0.9965971016063464, 'x1': 2.203172337620594, 'x4': 1.1138426253641893, 'x3': 1.2850969195732969, 'x2': 1.5708292720978414}",4.495788097381592,4.496191501617432,45,194661376,11.28629732131958
106,BoBn,106,0,"{'x5': 0.9965970896924543, 'x1': 2.203171892939735, 'x4': 1.1138424897497359, 'x3': 1.2850968619945018, 'x2': 1.5708286555915099}",4.4959492683410645,4.496191501617432,45,194727936,13.57076644897461
107,BoBn,107,0,"{'x5': 0.9965972032711636, 'x1': 2.203171239989025, 'x4': 1.1138420317369881, 'x3': 1.2850969101371295, 'x2': 1.570825109067622}",4.49576473236084,4.496191501617432,45,195724288,16.396870136260986
108,BoBn,108,0,"{'x5': 0.9965973869894457, 'x1': 2.203170950570114, 'x4': 1.1138421199224344, 'x3': 1.285096649757276, 'x2': 1.5708301264139217}",4.495871543884277,4.496191501617432,45,195644928,12.151793241500854
109,BoBn,109,0,"{'x5': 0.9965945189796979, 'x1': 2.20317042939571, 'x4': 1.1138414253081337, 'x3': 1.285096473312319, 'x2': 1.570826744009236}",4.495908260345459,4.496191501617432,45,195837952,13.206721544265747
110,BoBn,110,0,"{'x5': 0.9965976023224958, 'x1': 2.2031697323737585, 'x4': 1.1138412540739855, 'x3': 1.285116587570641, 'x2': 1.5708128787067814}",4.495987415313721,4.496191501617432,45,196838912,10.677204608917236
111,BoBn,111,0,"{'x5': 0.9965976352707216, 'x1': 2.203169203258194, 'x4': 1.1138408512214806, 'x3': 1.285117351392095, 'x2': 1.5708312924635872}",4.4959540367126465,4.496191501617432,45,196316160,15.70496654510498
112,BoBn,112,0,"{'x5': 0.9965977881173629, 'x1': 2.203168683596427, 'x4': 1.1138403951739468, 'x3': 1.2851171601555862, 'x2': 1.5708304965038595}",4.495873928070068,4.496191501617432,45,196221952,12.104610443115234
113,BoBn,113,0,"{'x5': 0.9965978586776167, 'x1': 2.203168147499723, 'x4': 1.113840285529044, 'x3': 1.2851170129045617, 'x2': 1.5708134556671702}",4.495788097381592,4.496191501617432,45,197177856,23.941534757614136
114,BoBn,114,0,"{'x5': 0.996597940083868, 'x1': 2.2031676631067483, 'x4': 1.1138366574340428, 'x3': 1.2851168569991966, 'x2': 1.570829934648267}",4.495828628540039,4.496191501617432,45,198765568,12.922263622283936
115,BoBn,115,0,"{'x5': 0.9965983782787818, 'x1': 2.20316785050323, 'x4': 1.1138950666001737, 'x3': 1.2850971481939253, 'x2': 1.5708128799738446}",4.495792388916016,4.496191501617432,45,198959616,13.78997278213501
116,BoBn,116,0,"{'x5': 0.9965982307118103, 'x1': 2.2031665529014965, 'x4': 1.1138392807847344, 'x3': 1.2850958742934393, 'x2': 1.5708301991457005}",4.495795249938965,4.496191501617432,45,198307328,12.10997200012207
117,BoBn,117,0,"{'x5': 0.9965983557450279, 'x1': 2.203165952095766, 'x4': 1.113838962080873, 'x3': 1.2850956849654134, 'x2': 1.5708130723014602}",4.495704650878906,4.496191501617432,45,199752192,12.881229400634766
