step,inference_time
75,0.030940721000661142
97,0.01646116899792105
99,0.016274529989459552
81,0.016942481997830328
56,0.015918992008664645
23,0.0162557840012596
82,0.016371221994631924
20,0.016077726002549753
65,0.03105108899762854
24,0.03412675599975046
37,0.016179114005353767
57,0.016476062002766412
13,0.016430957002739888
19,0.01598989400008577
22,0.01688027099953615
74,0.016733459997340105
12,0.03238020199933089
77,0.017709565996483434
83,0.03309510300459806
33,0.016382989997509867
94,0.016311613006109837
15,0.01607147500180872
11,0.03437568599838414
64,0.03224490099819377
62,0.016771043003245723
1,0.017474912998295622
53,0.017103046004194766
5,0.017067059998225886
41,0.016396019003877882
68,0.018764706001093145
47,0.017268474002776202
89,0.03453147799882572
3,0.02835637699899962
90,0.03602819600200746
66,0.02522214899363462
91,0.016263329998764675
96,0.016369010001653805
52,0.020716152001114096
9,0.016414266003266675
95,0.016550743006519042
14,0.016838934996485477
36,0.017053065006621182
55,0.0165443390069413
21,0.033253831999900285
88,0.01634927400300512
18,0.016780600999481976
92,0.016432493001047987
54,0.017055436997907236
44,0.016764230007538572
26,0.03549343300255714
42,0.0316296750024776
63,0.01682002199231647
71,0.016692580000380985
8,0.028979920996789588
80,0.016729774004488718
6,0.016647902000840986
70,0.03473098199174274
32,0.01681081500282744
69,0.030325100000482053
60,0.016775817995949183
7,0.016554399000597186
100,0.016489590001583565
4,0.031605459000275005
73,0.02613128299708478
25,0.017655510004260577
43,0.016430812996986788
48,0.016422199994849507
78,0.03176783399976557
29,0.0168458370026201
49,0.015978411000105552
17,0.01652268600082607
39,0.016848249004397076
2,0.016103545003716135
93,0.04338027101039188
72,0.027026908996049315
28,0.016451712002890417
50,0.01667994300078135
59,0.016555356000026222
35,0.0165906999973231
87,0.016879288996278774
40,0.01606181199895218
30,0.03550961599830771
61,0.03953094099415466
34,0.016400627995608374
67,0.01730050699552521
45,0.016500554003869183
31,0.01625630899798125
16,0.017235089999303455
79,0.035852713997883257
51,0.016244874997937586
84,0.016502209997270256
85,0.016608919002464972
38,0.016633858998829965
27,0.01628639699993073
86,0.01685511700634379
10,0.01687253200361738
46,0.016459901999041904
98,0.034611562005011365
76,0.03429769400099758
58,0.01756290900084423
