,score,branin,currin,candidate,best_f,model,step,restart,log_hv,non_dominated,Pareto-Front
0,0.0,-17.508022884640763,-1.1801100794666848,[[0. 1.]],-9.313260477630674,Independent,0,0,1.7734947610688778,True,True
1,2.3799765716793417,-25.837811291313535,-1.275557689505447,[[0.         0.90440353]],-9.31144663366308,Independent,1,0,1.7557235285575243,False,False
2,2.378594194099561,-37.124526949170786,-1.3744461622889979,[[0.         0.81651665]],-9.311148578162895,Independent,2,0,1.7557340647136206,False,False
3,2.367053015717906,-3.6078230343855835,-3.955387788960622,[[0.07768529 1.        ]],-9.310659394305699,Independent,3,0,1.7558220188811293,False,False
4,30.778075447586897,-8.174984188367262,-2.5850109667266215,[[0.0353574 1.       ]],-7.564862502973279,Independent,4,0,1.4560932728338276,True,True
5,43.588000527020114,-1.2000477396717402,-4.802820020716596,[[0.09763826 0.9001111 ]],-7.565073112711807,Independent,5,0,1.1978900237157304,True,True
6,46.458657425051946,-2.1052861762018997,-4.3645561905735075,[[0.08605239 0.94198512]],-6.0022060790135265,Independent,6,0,1.110638904783201,False,False
7,47.134961200405435,-12.544123770773545,-1.8567958350005513,[[0.01663969 1.        ]],-6.004450920674502,Independent,7,0,1.087254464679444,True,True
8,50.728518519930134,-0.6737690405826467,-5.292632302667695,[[0.11510556 0.86874988]],-6.0042360930517065,Independent,8,0,0.936091317857714,False,False
9,51.09653735161622,-1.2944284102536026,-5.070648014647814,[[0.11158454 0.90529528]],-5.966413926292319,Independent,9,0,0.9171683092919465,False,False
10,51.101556644611875,-5.352111259739048,-3.207830627213858,[[0.05285843 1.        ]],-5.9699091404718185,Independent,10,0,0.9169044390116793,False,False
11,53.21309706019889,-0.4454789309755594,-5.495773849141567,[[0.11734141 0.83397221]],-5.967035719653907,Independent,11,0,0.7886647454406794,False,False
12,53.33956014158604,-14.962748738108688,-1.5121725591969748,[[0.00811576 1.        ]],-5.938039917999497,Independent,12,0,0.7796367883877908,True,True
13,54.20731444649736,-1.595393909433377,-4.588229366262737,[[0.09114898 0.91568429]],-5.939023738993872,Independent,13,0,0.7120436487492167,True,True
14,54.320685322220285,-0.8088483415890205,-5.0636167204797475,[[0.10510316 0.87606394]],-5.938554861820105,Independent,14,0,0.7023817123195867,True,True
15,54.410613652640905,-4.185337034569486,-3.56753860795768,[[0.06324729 0.9903051 ]],-5.872278349053909,Independent,15,0,0.6945617757404917,True,True
16,54.8658120604728,-10.961068579919287,-10.18091593978644,[[1. 0.]],-5.87302559978362,Independent,16,0,0.6526627050324534,False,False
17,54.86776941626759,-0.4310318988343756,-5.591691112454354,[[0.12256082 0.83325657]],-5.8735983231283315,Independent,17,0,0.6524735203496764,False,False
18,54.86933831340954,-6.695013705385523,-2.8850860734712995,[[0.04355381 1.        ]],-5.8762118601554505,Independent,18,0,0.6523218219113878,True,True
19,55.34600457863445,-53.65188680055012,-6.257239981041064,[[0.4261134  0.70076355]],-5.873768164136636,Independent,19,0,0.6035897205965443,False,False
20,55.35111703249666,-18.831830498208642,-9.911090622957596,[[0.26052734 0.38620789]],-5.873777151665024,Independent,20,0,0.6030362421641388,False,False
21,55.34856082793472,-2.795118118329143,-4.068156998813313,[[0.07663874 0.95567151]],-5.872351448919108,Independent,21,0,0.6033130671299038,True,True
22,55.59936708745765,-18.888525731727764,-6.628556884399534,[[1.         0.47463603]],-5.873000785938257,Independent,22,0,0.5752746560167156,False,False
23,55.59599855001733,-91.85737070314875,-5.378924791597916,[[0.39464976 0.89103476]],-5.876020097669203,Independent,23,0,0.5756634831880959,False,False
24,55.58795929278319,-2.4171648620010058,-4.218859048841226,[[0.08078093 0.94441529]],-5.87526525639079,Independent,24,0,0.5765900428540738,True,True
25,55.64840693204477,-0.6046752066911842,-5.249780904385553,[[0.11078431 0.85997403]],-5.873806047054618,Independent,25,0,0.5695742495229154,True,True
26,55.67107212507271,-0.9904358060209489,-4.93444438449399,[[0.1012986  0.88788432]],-5.856052868231137,Independent,26,0,0.566914144043912,True,True
27,55.69809400985234,-0.4369120631327379,-5.541549324681229,[[0.12083901 0.83722366]],-5.854005975084345,Independent,27,0,0.5637212738539755,True,True
28,55.69781331713355,-1.8300254475159563,-4.474410301441993,[[0.08796441 0.92492042]],-5.855378857917003,Independent,28,0,0.5637545610750878,True,True
29,55.73995080151735,-0.4826301326657253,-5.436816101365474,[[0.11752746 0.84711385]],-5.852810913404151,Independent,29,0,0.5587287188295672,False,False
30,55.72653442492246,-4.757656078322563,-3.3789505173924095,[[0.05812262 1.        ]],-5.856934349806449,Independent,30,0,0.5603352432182985,True,True
31,55.84614422428423,-2.2301215045167493,-4.297430929350747,[[0.08291189 0.93812042]],-5.8559690518436085,Independent,31,0,0.545798608623263,True,True
32,55.86917456053658,-0.4181912219579878,-5.612155742822248,[[0.12279216 0.82967064]],-5.855791609154571,Independent,32,0,0.5429429055382694,False,False
33,55.86966872843527,-3.5257180317330565,-3.7935478166438648,[[0.06923524 0.97411414]],-5.857211101425103,Independent,33,0,0.5428814237237524,True,True
34,55.97451131256791,-3.156888066634946,-3.931104933311908,[[0.07288894 0.96518655]],-5.8560898582058805,Independent,34,0,0.5296365998995656,True,True
35,56.03240746139639,-2.6064996250932637,-4.14142773042522,[[0.07864479 0.94994305]],-5.8544256211354115,Independent,35,0,0.5221456398002373,True,True
36,56.03629291574936,-1.3926475698555245,-4.6947537568028,[[0.09432091 0.90813566]],-5.856243219760785,Independent,36,0,0.521638258860579,True,True
